algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
BLAKE3,50,21,0.000019,0.000058,0.000013
BLAKE3,50,22,0.000019,0.000063,0.000014
BLAKE3,50,23,0.000020,0.000057,0.000013
BLAKE3,50,24,0.000019,0.000059,0.000013
BLAKE3,50,25,0.000019,0.000057,0.000013
BLAKE3,50,26,0.000019,0.000058,0.000013
BLAKE3,50,27,0.000020,0.000056,0.000014
BLAKE3,50,28,0.000019,0.000058,0.000013
BLAKE3,50,29,0.000020,0.000058,0.000013
BLAKE3,50,30,0.000020,0.000057,0.000014
BLAKE3,50,31,0.000019,0.000058,0.000013
BLAKE3,100,1,0.000028,0.000095,0.000054
BLAKE3,100,2,0.000031,0.000085,0.000019
BLAKE3,100,3,0.000036,0.000082,0.000018
BLAKE3,100,4,0.000031,0.000077,0.000018
BLAKE3,100,5,0.000031,0.000080,0.000017
BLAKE3,100,6,0.000035,0.000079,0.000020
BLAKE3,100,7,0.000031,0.000081,0.000017
BLAKE3,100,8,0.000031,0.000079,0.000019
BLAKE3,100,9,0.000031,0.000082,0.000018
BLAKE3,100,10,0.000031,0.000082,0.000019
BLAKE3,100,11,0.000031,0.000082,0.000017
BLAKE3,100,12,0.000031,0.000081,0.000018
BLAKE3,100,13,0.000032,0.000083,0.000018
BLAKE3,100,14,0.000031,0.000081,0.000017
BLAKE3,100,15,0.000032,0.000079,0.000018
BLAKE3,100,16,0.000031,0.000082,0.000018
BLAKE3,100,17,0.000031,0.000081,0.000019
BLAKE3,100,18,0.000031,0.000081,0.000018
BLAKE3,100,19,0.000036,0.000081,0.000018
BLAKE3,100,20,0.000031,0.000082,0.000017
BLAKE3,100,21,0.000031,0.000082,0.000018
BLAKE3,100,22,0.000031,0.000082,0.000019
BLAKE3,100,23,0.000031,0.000082,0.000018
BLAKE3,100,24,0.000031,0.000080,0.000019
BLAKE3,100,25,0.000031,0.000081,0.000017
BLAKE3,100,26,0.000032,0.000088,0.000020
BLAKE3,100,27,0.000031,0.000082,0.000018
BLAKE3,100,28,0.000031,0.000081,0.000018
BLAKE3,100,29,0.000031,0.000082,0.000018
BLAKE3,100,30,0.000031,0.000081,0.000018
BLAKE3,100,31,0.000031,0.000083,0.000022
BLAKE3,500,1,0.000127,0.000298,0.000183
BLAKE3,500,2,0.000130,0.000292,0.000099
BLAKE3,500,3,0.000129,0.000276,0.000068
BLAKE3,500,4,0.000129,0.000269,0.000070
BLAKE3,500,5,0.000132,0.000272,0.000070
BLAKE3,500,6,0.000128,0.000266,0.000071
BLAKE3,500,7,0.000128,0.000272,0.000071
BLAKE3,500,8,0.000128,0.000267,0.000073
BLAKE3,500,9,0.000129,0.000279,0.000071
BLAKE3,500,10,0.000127,0.000265,0.000068
BLAKE3,500,11,0.000132,0.000289,0.000074
BLAKE3,500,12,0.000131,0.000286,0.000072
BLAKE3,500,13,0.000131,0.000299,0.000076
BLAKE3,500,14,0.000135,0.000286,0.000073
BLAKE3,500,15,0.000133,0.000291,0.000071
BLAKE3,500,16,0.000132,0.000287,0.000073
BLAKE3,500,17,0.000131,0.000283,0.000076
BLAKE3,500,18,0.000131,0.000286,0.000076
BLAKE3,500,19,0.000131,0.000284,0.000072
BLAKE3,500,20,0.000131,0.000284,0.000072
BLAKE3,500,21,0.000134,0.000303,0.000076
BLAKE3,500,22,0.000134,0.000269,0.000070
BLAKE3,500,23,0.000131,0.000281,0.000074
BLAKE3,500,24,0.000131,0.000283,0.000074
BLAKE3,500,25,0.000131,0.000284,0.000075
BLAKE3,500,26,0.000131,0.000282,0.000074
BLAKE3,500,27,0.000130,0.000307,0.000073
BLAKE3,500,28,0.000131,0.000285,0.000073
BLAKE3,500,29,0.000135,0.000273,0.000071
BLAKE3,500,30,0.000131,0.000288,0.000072
BLAKE3,500,31,0.000130,0.000285,0.000073
BLAKE3,1000,1,0.000245,0.000561,0.000366
BLAKE3,1000,2,0.000254,0.000541,0.000160
BLAKE3,1000,3,0.000251,0.000539,0.000166
BLAKE3,1000,4,0.000249,0.000541,0.000158
BLAKE3,1000,5,0.000248,0.000536,0.000157
BLAKE3,1000,6,0.000253,0.000533,0.000157
BLAKE3,1000,7,0.000249,0.000540,0.000157
BLAKE3,1000,8,0.000255,0.000535,0.000156
BLAKE3,1000,9,0.000250,0.000560,0.000162
BLAKE3,1000,10,0.000248,0.000543,0.000160
BLAKE3,1000,11,0.000254,0.000532,0.000154
BLAKE3,1000,12,0.000251,0.000555,0.000159
BLAKE3,1000,13,0.000248,0.000528,0.000163
